Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Salem,1993,7.2,"22,882","Drama, Fantasy, Horror",60 ,Series,TV-MA,36,Mild,Severe,Moderate,Moderate,Severe
Lady Macbeth,2016,6.8,"21,774","Drama, Romance",89 ,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
AINBO: Spirit of the Amazon,2021,4.7,933,"Animation, Adventure, Comedy",84 ,Film,E,-,No Rate,No Rate,No Rate,No Rate,No Rate
Laëtitia,2021,7.0,306,"Biography, Crime, Drama",45 ,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
You Were Never Really Here,2017,6.8,"112,318","Crime, Drama",89 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
The Emoji Movie,2017,3.3,"60,357","Animation, Adventure, Comedy",86 ,Film,PG,-,Severe,Severe,Severe,Severe,Severe
Monster's Ball,2001,7.0,"86,587","Drama, Romance",111 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Jaws 2,1978,5.8,"75,426","Adventure, Horror, Thriller",116 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
Hotel Desire,2011,5.7,"2,730","Short, Drama, Romance",38 ,Film,TV-MA,-,Severe,None,None,Mild,None
American Assassin,2017,6.2,"77,056","Action, Thriller",111 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
The Autopsy of Jane Doe,2016,6.8,"107,463","Horror, Mystery, Thriller",86 ,Film,R,-,Moderate,Severe,Moderate,None,Severe
Mortal Engines,2018,6.1,"118,303","Action, Adventure, Fantasy",128 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
Saw 3D,2010,5.6,"95,141","Crime, Horror, Mystery",90 ,Film,R,-,None,Severe,Severe,Mild,Severe
PEN15,2010,8.0,"7,850",Comedy,30 ,Series,TV-MA,25,Moderate,None,Severe,Moderate,None
Sunset Blvd.,1950,8.4,"211,770","Drama, Film-Noir",110 ,Film,Passed,-,None,Mild,None,Mild,Mild
The Voices,2014,6.4,"55,877","Comedy, Crime, Fantasy",103 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
Kung fu,2004,7.7,"133,212","Action, Comedy, Fantasy",99 ,Film,R,-,Mild,Moderate,Mild,Mild,Mild
Revenge of the Nerds,1984,6.6,"51,589",Comedy,90 ,Film,R,-,Moderate,Mild,Moderate,Moderate,None
The Midnight Sky,2020,5.6,"78,077","Drama, Fantasy, Sci-Fi",118 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
Major League,1989,7.2,"65,689","Comedy, Sport",107 ,Film,R,-,Mild,Mild,Moderate,Mild,None
Runaways,1989,7.0,"24,021","Action, Drama, Sci-Fi",60 ,Series,TV-14,33,Mild,Mild,Moderate,Mild,Mild
Sister Act,1992,6.4,"93,098","Comedy, Family, Music",100 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Koroshiya 1,2001,7.0,"54,235","Action, Comedy, Crime",129 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Amityville Horror,1979,6.2,"37,554",Horror,117 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
The Doors,1991,7.2,"88,443","Biography, Drama, Music",140 ,Film,R,-,Severe,Moderate,Moderate,Severe,Moderate
Ghost Rider,2007,5.3,"230,200","Action, Fantasy, Thriller",110 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
Swiss Army Man,2016,7.0,"111,412","Comedy, Drama, Fantasy",97 ,Film,R,-,Mild,Mild,Moderate,None,Mild
Last of the Summer Wine,2016,7.0,"2,866",Comedy,30 ,Series,TV-PG,294,Mild,None,Mild,Mild,None
A Walk to Remember,2002,7.3,"205,083","Drama, Romance",101 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
The Guernsey Literary and Potato Peel Pie Society,2018,7.4,"41,189","Drama, Romance, War",124 ,Film,TV-14,-,None,Mild,Mild,Mild,Mild
Streets of Fire,1984,6.7,"20,167","Action, Crime, Drama",93 ,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
The Tree of Life,2011,6.8,"172,419","Drama, Fantasy",139 ,Film,PG-13,-,None,Mild,None,None,Mild
Victor Frankenstein,2015,6.0,"54,894","Drama, Horror, Sci-Fi",110 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
Child's Play 2,1990,5.9,"48,261","Horror, Thriller",84 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
Skyscraper,2018,5.8,"114,851","Action, Adventure, Thriller",102 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
The Mountain Between Us,2017,6.4,"71,634","Action, Adventure, Drama",112 ,Film,PG-13,-,Mild,Mild,Mild,None,Mild
Colombiana,2011,6.4,"98,263","Action, Drama, Thriller",108 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
The Souvenir,2019,6.4,"10,002","Drama, Mystery, Romance",120 ,Film,R,-,Moderate,Mild,Mild,Moderate,Mild
Gosford Park,2001,7.2,"84,085","Comedy, Drama, Mystery",131 ,Film,R,-,Mild,Mild,Moderate,Mild,Mild
The Man Who Killed Don Quixote,2018,6.4,"18,173","Adventure, Comedy, Drama",132 ,Film,Not Rated,-,Mild,Mild,Moderate,Mild,Moderate
Per un pugno di dollari,1964,8.0,"207,415","Action, Drama, Western",99 ,Film,R,-,None,Moderate,None,Mild,Moderate
Black Lightning,1964,6.1,"23,938","Action, Drama, Sci-Fi",43 ,Series,TV-14,58,Mild,Moderate,Mild,Moderate,Mild
Threesome,1964,7.1,502,Drama,None,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate
Bliss,2021,5.4,"15,550","Drama, Romance, Sci-Fi",103 ,Film,R,-,Mild,Moderate,Moderate,Severe,Moderate
Rise of the Planet of the Apes,2011,7.5,"509,450","Action, Drama, Sci-Fi",105 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
The Guns of Navarone,1961,7.5,"48,149","Action, Adventure, Drama",158 ,Film,TV-PG,-,None,Moderate,Mild,Mild,Mild
A History of Violence,2005,7.4,"230,538","Action, Drama, Thriller",96 ,Film,R,-,Severe,Severe,Moderate,Moderate,Moderate
Crawlspace,2016,5.1,"6,681","Horror, Thriller",88 ,Film,R,-,Mild,Moderate,Mild,Moderate,Severe
Our Friend,2019,7.3,"8,333","Drama, Romance",124 ,Film,R,-,None,None,Moderate,Mild,Mild
Deepwater Horizon,2016,7.1,"160,723","Action, Drama, History",107 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
AVP: Alien vs. Predator,2004,5.6,"190,952","Action, Adventure, Horror",101 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Seed of Chucky,2004,4.8,"42,598","Comedy, Fantasy, Horror",87 ,Film,R,-,Moderate,Severe,Severe,Mild,Moderate
Twitches,2005,5.8,"7,832","Comedy, Drama, Family",86 ,Film,TV-PG,-,None,Mild,None,None,Mild
The Cloverfield Paradox,2018,5.5,"100,296","Action, Horror, Sci-Fi",102 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
Chicago,2002,7.2,"222,586","Comedy, Crime, Musical",113 ,Film,PG-13,-,Moderate,Mild,Moderate,Moderate,Mild
The Division,2022,No Rate,No Votes,"Action, Adventure, Drama",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Burnt,2015,6.6,"111,659","Comedy, Drama",101 ,Film,R,-,Mild,Mild,Severe,Mild,Mild
Bunk'd,2015,5.4,"2,919","Comedy, Drama, Family",30 ,Series,TV-G,110,None,Mild,None,None,Mild
Love You To Death,2019,6.1,671,Drama,90 ,Film,TV-14,-,Mild,Mild,None,None,None
Casualty,2019,6.1,"2,855",Drama,50 ,Series,TV-PG,1234,Mild,Severe,Mild,Moderate,Moderate
Tonari no Totoro,1988,8.2,"312,336","Animation, Family, Fantasy",86 ,Film,G,-,None,None,None,None,None
Namhansanseong,2017,6.8,"1,940","Action, Drama, History",140 ,Film,Not Rated,-,None,Moderate,No Rate,No Rate,No Rate
The Bank Job,2008,7.2,"177,698","Crime, Drama, Thriller",111 ,Film,R,-,Severe,Moderate,Severe,Moderate,Moderate
Under Siege,1992,6.5,"82,410","Action, Thriller",103 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
PAW Patrol,1992,6.1,"2,692","Animation, Adventure, Comedy",23 ,Series,TV-Y,199,None,Mild,None,None,Mild
A Million Ways to Die in the West,2014,6.1,"183,506","Comedy, Western",116 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Mild
Dogma,1999,7.3,"212,690","Adventure, Comedy, Drama",130 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
Toy Story 3,2010,8.2,"788,356","Animation, Adventure, Comedy",103 ,Film,G,-,None,Mild,None,None,Moderate
Walking Tall,2004,6.3,"73,727","Action, Crime",86 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Colossal,2016,6.2,"62,203","Action, Adventure, Comedy",109 ,Film,R,-,None,Moderate,Moderate,Moderate,Mild
Freddy's Dead: The Final Nightmare,1991,4.9,"44,085","Fantasy, Horror",89 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Moderate
Pánico en el Transiberiano,1972,6.6,"10,137","Adventure, Horror, Sci-Fi",91 ,Film,R,-,None,Moderate,None,Mild,Moderate
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,"231,796","Adventure, Drama, Fantasy",117 ,Film,PG-13,-,Moderate,Moderate,None,Mild,Severe
The Basketball Diaries,1995,7.3,"106,405","Biography, Crime, Drama",102 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
Val,2021,6.3,406,"Comedy, Horror, Thriller",81 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Nightingale,2018,7.3,"25,291","Adventure, Drama, Thriller",136 ,Film,R,-,Severe,Severe,Severe,Mild,Severe
Awakenings,1990,7.8,"133,265","Biography, Drama",121 ,Film,PG-13,-,None,None,Mild,Mild,Mild
Rush Hour 2,2001,6.6,"208,957","Action, Comedy, Crime",90 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
The Adam Project,2022,No Rate,No Votes,"Action, Adventure, Sci-Fi",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Good Son,1993,6.4,"39,550","Drama, Thriller",87 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
The Amazing World of Gumball,1993,8.2,"26,128","Animation, Short, Adventure",11 ,Series,TV-Y7-FV,240,Mild,Mild,Mild,Mild,Mild
Filth,2013,7.1,"105,336","Comedy, Crime, Drama",97 ,Film,R,-,Severe,Moderate,Severe,Severe,Moderate
Overboard,1987,6.9,"56,044","Comedy, Romance",112 ,Film,PG,-,Mild,None,Mild,Mild,None
Cartel,2021,8.9,"4,470","Action, Drama",None,Series,None,14,No Rate,No Rate,No Rate,No Rate,No Rate
Les frères Sisters,2018,6.9,"60,263","Crime, Drama, Western",122 ,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate
The Disaster Artist,2017,7.4,"145,779","Biography, Comedy, Drama",104 ,Film,R,-,Moderate,None,Severe,Mild,None
The Society,2019,7.1,"24,586","Drama, Mystery, Sci-Fi",58 ,Series,TV-MA,10,Moderate,Moderate,Severe,Moderate,Mild
Mission: Impossible II,2000,6.1,"326,271","Action, Adventure, Thriller",123 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
The Way Back,2020,6.7,"39,978","Drama, Sport",108 ,Film,R,-,None,Mild,Severe,Severe,Mild
Boy Erased,2018,6.9,"36,147","Biography, Drama",115 ,Film,R,-,Moderate,Mild,Mild,Mild,Moderate
Field of Dreams,1989,7.5,"114,628","Drama, Family, Fantasy",107 ,Film,PG,-,None,None,Mild,Mild,None
Utopia,1989,8.4,"43,697","Drama, Mystery, Sci-Fi",50 ,Series,TV-MA,12,Moderate,Severe,Severe,Mild,Severe
Ralph Breaks the Internet,2018,7.0,"144,995","Animation, Adventure, Comedy",112 ,Film,PG,-,None,Mild,None,None,Mild
Masquerade,2021,3.8,407,"Horror, Thriller",80 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Princess and the Frog,2009,7.1,"132,841","Animation, Adventure, Comedy",97 ,Film,G,-,None,Mild,None,Mild,Moderate
The Interview,2014,6.5,"317,400","Action, Adventure, Comedy",112 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
The Hangover Part II,2011,6.5,"478,818",Comedy,102 ,Film,R,-,Severe,Moderate,Severe,Severe,Moderate
The Opposite Sex,1956,6.1,"1,591","Comedy, Musical, Romance",117 ,Film,Not Rated,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Borgias,1956,7.9,"49,647","Crime, Drama, History",50 ,Series,TV-MA,29,Severe,Severe,Moderate,Mild,No Rate
Nuovo Cinema Paradiso,1988,8.5,"246,276","Drama, Romance",155 ,Film,PG,-,Moderate,Mild,Mild,Mild,Mild
Rogue Hostage,2021,3.1,"1,462","Action, Thriller",93 ,Film,Not Rated,-,Mild,Severe,Moderate,Mild,Moderate
Lost in Space,2021,7.2,"7,117","Adventure, Comedy, Family",60 ,Series,TV-G,84,No Rate,Mild,No Rate,No Rate,Mild
Workaholics,2021,8.1,"48,387",Comedy,22 ,Series,TV-14,86,Moderate,Mild,Severe,Severe,Mild
Wonder Woman,2021,7.1,"7,854","Action, Adventure, Fantasy",60 ,Series,TV-G,60,Mild,Mild,Mild,Mild,Mild
Boyhood,2014,7.9,"345,055",Drama,165 ,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
31,2016,5.1,"19,664","Horror, Thriller",102 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Peppermint,2018,6.5,"61,430","Action, Crime, Drama",101 ,Film,R,-,None,Severe,Moderate,Moderate,Severe
Alexander,2004,5.6,"166,305","Action, Biography, Drama",175 ,Film,R,-,Moderate,Severe,Mild,Mild,Moderate
Killing Them Softly,2012,6.2,"138,664","Crime, Drama, Thriller",97 ,Film,R,-,Mild,Severe,Severe,Severe,Severe
The Invitation,2015,6.6,"102,032","Drama, Mystery, Thriller",100 ,Film,Not Rated,-,Mild,Moderate,Moderate,Mild,Moderate
Steel Magnolias,1989,7.3,"51,343","Comedy, Drama, Romance",117 ,Film,PG,-,Mild,None,Moderate,Mild,Mild
Flipped,2010,7.7,"86,680","Comedy, Drama, Romance",90 ,Film,PG,-,None,Mild,Mild,None,Mild
Counterpart,2010,8.1,"24,522","Drama, Sci-Fi, Thriller",60 ,Series,TV-MA,20,Moderate,Moderate,Moderate,Mild,Mild
Never Let Me Go,2010,7.1,"141,000","Drama, Romance, Sci-Fi",103 ,Film,R,-,Moderate,Mild,None,Mild,Moderate
Leyla ile Mecnun,2010,9.1,"91,862","Adventure, Comedy, Drama",80 ,Series,TV-PG,112,Mild,Mild,Mild,None,Mild
Wizards of Waverly Place,2010,6.9,"31,729","Adventure, Comedy, Drama",22 ,Series,TV-G,106,None,None,None,None,Mild
Inside Llewyn Davis,2013,7.5,"146,722","Comedy, Drama, Music",104 ,Film,R,-,None,Mild,Severe,Mild,None
Miseuteo Shunshain,2018,8.8,"5,743","Action, Drama, History",80 ,Series,TV-MA,24,None,Moderate,Mild,Mild,Moderate
Savages,2012,6.5,"127,478","Action, Crime, Drama",131 ,Film,R,-,Moderate,Severe,Severe,Severe,Moderate
House of Wax,1953,7.1,"17,302",Horror,88 ,Film,GP,-,Mild,Moderate,None,Mild,Moderate
Predator 2,1990,6.3,"154,179","Action, Horror, Sci-Fi",108 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
Violet,2021,6.5,104,Drama,92 ,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Loudermilk,2021,7.8,"3,731","Comedy, Drama",30 ,Series,TV-14,30,Moderate,None,Severe,Moderate,None
Grease 2,1982,4.4,"34,394","Comedy, Drama, Musical",115 ,Film,PG,-,Mild,None,Mild,Mild,Mild
The Slumber Party Massacre,1982,5.7,"13,183",Horror,77 ,Film,R,-,Moderate,Severe,Mild,Moderate,Moderate
Bachelor in Paradise,1982,5.3,"1,640","Reality-TV, Romance",42 ,Series,TV-14,74,No Rate,No Rate,No Rate,No Rate,No Rate
Fairy Tail: Fearî teiru,1982,8.0,"22,572","Animation, Action, Adventure",24 ,Series,TV-14,339,Moderate,Mild,Mild,Mild,Mild
The Old Ways,2020,5.4,"4,377","Drama, Fantasy, Horror",90 ,Film,R,-,None,Severe,Moderate,Moderate,Moderate
My Girl,1991,6.9,"76,653","Comedy, Drama, Family",102 ,Film,PG,-,Mild,Mild,Mild,Mild,Moderate
Invasion of the Body Snatchers,1978,7.4,"56,671","Horror, Sci-Fi",115 ,Film,PG,-,Mild,Moderate,Mild,None,Moderate
History of Horror,1978,8.1,"1,861","Documentary, Horror",42 ,Series,TV-MA,19,No Rate,Severe,Mild,No Rate,Mild
Aurora Teagarden Mysteries,1978,7.7,662,"Crime, Mystery",90 ,Series,TV-PG,17,No Rate,No Rate,No Rate,No Rate,No Rate
Candy,1978,8.7,"12,326",Thriller,39 ,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate
One Hundred and One Dalmatians,1961,7.3,"160,308","Animation, Adventure, Comedy",79 ,Film,G,-,None,Mild,None,Mild,Mild
The Abyss,1989,7.5,"170,834","Adventure, Drama, Mystery",140 ,Film,PG-13,-,Mild,Mild,Moderate,None,Moderate
The Chronicles of Riddick,2004,6.7,"220,724","Action, Adventure, Sci-Fi",119 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
Geomeun Taeyang,2004,7.7,199,"Action, Crime, Drama",None,Series,None,12,No Rate,No Rate,No Rate,No Rate,No Rate
Virgin Territory,2007,4.8,"7,810","Adventure, Comedy, History",97 ,Film,R,-,Moderate,Mild,Mild,No Rate,No Rate
Kljun,2007,7.3,273,"Crime, Drama, Mystery",55 ,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
Night of the Demons,1988,6.2,"15,114","Comedy, Fantasy, Horror",90 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
Brazil,1985,7.9,"195,136","Drama, Sci-Fi",132 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
Dune World,2021,1.2,261,"Action, Fantasy, Sci-Fi",70 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
21,2008,6.8,"238,789","Crime, Drama, History",123 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
Serbuan maut,2011,7.6,"197,378","Action, Thriller",101 ,Film,R,-,None,Severe,Severe,Mild,Severe
Grace,2011,7.2,"1,847","Crime, Drama, Mystery",90 ,Series,None,5,No Rate,No Rate,No Rate,No Rate,No Rate
Frailty,2001,7.2,"80,895","Crime, Drama, Thriller",100 ,Film,R,-,None,Moderate,Mild,Mild,Severe
Secret Window,2004,6.5,"188,362","Drama, Mystery, Thriller",96 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
RuPaul's Drag Race UK,2004,8.4,"3,004","Game-Show, Reality-TV",60 ,Series,TV-14,30,Mild,No Rate,Severe,No Rate,None
Chernobyl,2021,5.0,"7,088","Drama, History, Romance",136 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Southbound,2015,5.9,"18,155",Horror,89 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
DuckTales,2015,8.2,"8,343","Animation, Action, Adventure",21 ,Series,TV-Y,69,None,Mild,None,None,Mild
Street Fighter,1994,4.0,"69,538","Action, Adventure, Comedy",102 ,Film,PG-13,-,None,Mild,Mild,None,Mild
The Politician,1994,7.5,"20,516","Comedy, Drama",42 ,Series,TV-14,15,Moderate,Mild,Mild,Mild,Mild
Cliffhanger,1993,6.4,"124,885","Action, Adventure, Thriller",113 ,Film,R,-,None,Severe,Severe,Mild,Moderate
Predators,2010,6.4,"218,869","Action, Adventure, Sci-Fi",107 ,Film,R,-,None,Severe,Severe,Mild,Severe
Professor T,2010,6.9,"1,876","Crime, Drama, Mystery",None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
My Fair Lady,1964,7.8,"90,999","Drama, Family, Musical",170 ,Film,G,-,None,None,Mild,Mild,None
Geostorm,2017,5.3,"101,419","Action, Sci-Fi, Thriller",109 ,Film,PG-13,-,Mild,Mild,Mild,None,Moderate
The Flintstones,1994,4.9,"78,810","Comedy, Family, Fantasy",91 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
The Cannonball Run,1981,6.3,"34,875","Action, Comedy, Sport",95 ,Film,PG,-,Mild,Mild,Mild,Mild,None
Shrek the Third,2007,6.1,"292,031","Animation, Adventure, Comedy",93 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Nou fo,2021,7.0,849,"Action, Adventure, Crime",126 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Knight Rider,2021,6.9,"31,905","Action, Crime, Drama",46 ,Series,TV-PG,86,None,Mild,None,Mild,Mild
Torchwood,2021,7.7,"39,684","Action, Drama, Mystery",50 ,Series,TV-MA,41,Moderate,Moderate,Moderate,Mild,Moderate
The Life & Times of Tim,2021,8.2,"6,150","Animation, Comedy",900 ,Series,None,30,No Rate,No Rate,No Rate,No Rate,No Rate
Wayne's World,1992,7.0,"150,118","Comedy, Music",94 ,Film,PG-13,-,Mild,None,Mild,Mild,None
The Curse of La Llorona,2019,5.3,"45,415","Horror, Mystery, Thriller",93 ,Film,R,-,None,Moderate,Mild,Mild,Severe
The Fall,2006,7.9,"109,824","Adventure, Drama, Fantasy",117 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
Sexy Beast,2000,7.3,"58,651","Crime, Drama, Thriller",89 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
Silent Night,2021,7.2,121,"Comedy, Drama, Horror",92 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
LOL,2012,4.4,"55,130","Comedy, Drama, Romance",97 ,Film,PG-13,-,Moderate,Mild,Mild,Moderate,None
Bridget Jones's Diary,2001,6.7,"234,631","Comedy, Drama, Romance",97 ,Film,R,-,Moderate,Mild,Moderate,Moderate,None
The Tax Collector,2020,4.8,"11,784","Action, Crime, Drama",95 ,Film,Not Rated,-,Moderate,Severe,Severe,Mild,Severe
The Invasion,2007,5.9,"76,596","Sci-Fi, Thriller",99 ,Film,PG-13,-,Mild,Moderate,None,Mild,Moderate
Fantasy Island,2007,6.5,"7,458","Adventure, Comedy, Drama",60 ,Series,TV-G,154,Severe,No Rate,No Rate,No Rate,No Rate
Love,2007,7.6,"39,782","Comedy, Drama, Romance",50 ,Series,TV-MA,34,Moderate,None,Severe,Moderate,None
50 First Dates,2004,6.8,"339,671","Comedy, Drama, Romance",99 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
Bridge to Terabithia,2007,7.2,"149,441","Drama, Family, Fantasy",96 ,Film,PG,-,None,Mild,Mild,None,Moderate
Varsity Blues,1999,6.5,"44,132","Comedy, Drama, Romance",106 ,Film,R,-,Moderate,Mild,Severe,Moderate,None
The Perfect Storm,2000,6.4,"161,870","Action, Adventure, Drama",130 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Akira,1988,8.0,"174,733","Animation, Action, Drama",124 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
All Creatures Great & Small,1988,8.4,"3,096","Comedy, Drama",50 ,Series,TV-PG,90,None,None,Mild,Mild,None
Thunder Force,2021,4.4,"37,594","Action, Adventure, Comedy",106 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
Four Good Days,2020,6.6,"3,220",Drama,100 ,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Fatal Attraction,1987,6.9,"81,318","Drama, Thriller",119 ,Film,R,-,Severe,Moderate,Moderate,Mild,Moderate
Seutateueob,1987,8.1,"6,860","Comedy, Drama, Romance",80 ,Series,TV-14,16,None,Mild,None,Mild,None
Confissões de uma Garota Excluída,2021,5.1,509,"Comedy, Drama",91 ,Film,TV-PG,-,None,None,None,Mild,None
Wall Street,1987,7.4,"149,491","Crime, Drama",126 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
Singin' in the Rain,1952,8.3,"229,289","Comedy, Musical, Romance",103 ,Film,G,-,None,None,None,None,None
3:10 to Yuma,2007,7.7,"298,596","Action, Crime, Drama",122 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
Tully,2018,7.0,"55,982","Comedy, Drama, Mystery",95 ,Film,R,-,Moderate,None,Moderate,Mild,None
Just Shoot Me!,2018,6.8,"19,178",Comedy,30 ,Series,TV-PG,149,Mild,No Rate,No Rate,Mild,No Rate
Them!,1954,7.2,"21,082","Horror, Sci-Fi",94 ,Film,Not Rated,-,None,Mild,None,Mild,Moderate
Turner & Hooch,1989,6.2,"68,246","Comedy, Crime, Drama",97 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
Happiest Season,2020,6.6,"31,266","Comedy, Crime, Drama",102 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Re-Animator,1985,7.2,"60,512","Comedy, Horror, Sci-Fi",104 ,Film,Unrated,-,Severe,Severe,Mild,Mild,Severe
The Virgin Suicides,1999,7.2,"149,357","Drama, Romance",97 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
Bad Teacher,2011,5.6,"198,424","Comedy, Romance",92 ,Film,R,-,Moderate,Mild,Severe,Moderate,None
Malcolm X,1992,7.7,"90,544","Biography, Drama, History",202 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Body of Proof,1992,7.1,"16,704","Comedy, Crime, Drama",60 ,Series,TV-14,42,Mild,Severe,No Rate,No Rate,Mild
The Poison Rose,2019,4.7,"7,923","Crime, Drama, Mystery",98 ,Film,R,-,None,Moderate,Mild,Moderate,Mild
Broken Arrow,1996,6.1,"94,863","Action, Adventure, Thriller",108 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
Addams Family Reunion,1998,4.0,"4,318","Comedy, Family, Fantasy",91 ,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate
Le pacte des loups,2001,7.0,"64,761","Action, Adventure, Drama",142 ,Film,R,-,Severe,Severe,None,Mild,Moderate
Den som dræber - Fanget af mørket,2001,7.5,"3,108","Crime, Thriller",45 ,Series,TV-14,16,Moderate,Severe,Mild,Mild,Severe
Per qualche dollaro in più,1965,8.2,"244,222",Western,132 ,Film,R,-,Moderate,Moderate,None,Mild,Moderate
The Campaign,2012,6.1,"127,820",Comedy,85 ,Film,R,-,Moderate,Mild,Moderate,Mild,None
Rambo: First Blood Part II,1985,6.5,"161,712","Action, Adventure, Thriller",96 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
Tango & Cash,1989,6.4,"101,446","Action, Comedy, Crime",104 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Mild
Insomnia,2002,7.2,"285,016","Drama, Mystery, Thriller",118 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
The Spy Who Dumped Me,2018,6.1,"73,885","Action, Adventure, Comedy",117 ,Film,R,-,Moderate,Moderate,Severe,Mild,Mild
High Fidelity,2000,7.5,"174,110","Comedy, Drama, Music",113 ,Film,R,-,Mild,Mild,Severe,Moderate,Mild
Ocean's Twelve,2004,6.5,"373,562","Crime, Thriller",125 ,Film,PG-13,-,None,Mild,Moderate,Mild,None
Idle Hands,1999,6.2,"41,820","Comedy, Fantasy, Horror",92 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
Not Fade Away,2012,6.0,"4,548",Drama,117 ,Film,R,-,Mild,Mild,Severe,Severe,Mild
Saturday Night Fever,1977,6.8,"76,060","Drama, Music",118 ,Film,R,-,Severe,Moderate,Severe,Moderate,Moderate
